unique_id,product_name,available_inventory,preorder_backlog,confirmed_inbound,inbound_eta,transit_stock
CA-SC-10-B-201-GR-1TO,"Hyundai Tucson Hybrid 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,0,100,2026-07-30,0
CA-SC-10-B-215-BK-1TO,,0,3,0,,0
CA-SC-10-B-22-BK-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",12,0,70,2026-07-30,0
CA-SC-10-B-22-DG-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",19,0,0,,0
CA-SC-10-B-26-BE-1TO,"Volvo V40 1999-2019 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",33,0,30,2026-08-16,0
CA-SC-10-B-26-BK-1TO,"Volvo V40 1999-2019 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",21,0,35,2026-09-02,0
CA-SC-10-B-28-BE-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",24,6,120,2026-08-12,0
CA-SC-10-B-28-BK-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",83,1,395,2026-07-30,0
CA-SC-10-B-28-BR-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",28,0,10,2026-07-30,0
CA-SC-10-B-28-DB-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",39,0,0,,0
CA-SC-10-B-28-DG-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,16,135,2026-07-30,0
CA-SC-10-B-28-GR-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",33,0,145,2026-08-09,0
CA-SC-10-B-28-WR-1TO,"Cadillac CT4-V Seat Covers - Custom-Fit, Comfort Leather, Easy Install",27,0,70,2026-08-16,0
CA-SC-10-B-30-BK-1TO,"Infiniti QX80 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,12,75,2026-08-12,0
CA-SC-10-B-30-DB-1TO,"Infiniti QX80 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,7,25,2026-08-12,0
CA-SC-10-B-30-DG-1TO,"Infiniti QX80 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",8,0,30,2026-08-12,0
CA-SC-10-B-32-BE-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",64,0,115,2026-07-30,0
CA-SC-10-B-32-BK-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",144,1,595,2026-07-30,0
CA-SC-10-B-32-BR-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,18,40,2026-07-30,0
CA-SC-10-B-32-DB-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",9,0,135,2026-07-30,0
CA-SC-10-B-32-DG-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,28,415,2026-08-09,0
CA-SC-10-B-32-GR-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,17,235,2026-07-30,0
CA-SC-10-B-32-WR-1TO,"Ford Bronco Raptor 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",60,2,85,2026-09-24,0
CA-SC-10-B-36-BE-1TO,"Suzuki Grand Vitara Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,12,45,2026-07-30,0
CA-SC-10-B-36-BK-1TO,"Suzuki Grand Vitara Seat Covers - Custom-Fit, Comfort Leather, Easy Install",36,0,50,2026-08-16,0
CA-SC-10-B-36-GR-1TO,"Suzuki Grand Vitara Seat Covers - Custom-Fit, Comfort Leather, Easy Install",19,0,10,2026-08-31,0
CA-SC-10-B-36-WR-1TO,"Suzuki Grand Vitara Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,0,10,2026-08-16,0
CA-SC-10-B-37-BE-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,5,20,2026-07-30,0
CA-SC-10-B-37-BK-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",22,5,245,2026-08-09,0
CA-SC-10-B-37-DB-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,11,40,2026-07-30,0
CA-SC-10-B-37-DG-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",32,2,255,2026-09-12,0
CA-SC-10-B-37-GR-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,1,100,2026-07-30,0
CA-SC-10-B-37-WR-1TO,"Rivian R1T 2022-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,1,45,2026-07-30,0
CA-SC-10-B-38-BK-1TO,"Polestar Seat Covers - Custom-Fit, Comfort Leather, Easy Install",21,0,30,2026-07-30,0
CA-SC-10-B-39-BK-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",13,0,0,,0
CA-SC-10-B-42-BK-1TO,"Kia Sportage Seat Covers - Custom-Fit, Comfort Leather, Easy Install",64,0,0,,0
CA-SC-10-B-44-BE-1TO,"Ford F-450 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",54,3,50,2026-09-24,0
CA-SC-10-B-44-BK-1TO,"Ford F-250 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",182,18,295,2026-08-31,0
CA-SC-10-B-44-BR-1TO,"Ford F-450 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",50,7,0,,0
CA-SC-10-B-44-DB-1TO,"Ford F-450 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",101,31,0,,0
CA-SC-10-B-44-DG-1TO,"Ford F-450 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",16,44,395,2026-08-09,0
CA-SC-10-B-44-GR-1TO,"Ford F-350 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",81,18,95,2026-09-12,0
CA-SC-10-B-46-BK-1TO,"Audi Q8 Sportback e-tron 2024-2025 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",29,0,0,,0
CA-SC-10-B-47-BE-1TO,"Mercedes-Benz CLS-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,11,150,2026-07-30,0
CA-SC-10-B-47-BK-1TO,"Mercedes-Benz CLS-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",40,0,145,2026-09-02,0
CA-SC-10-B-47-DG-1TO,"Mercedes-Benz CLS-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",12,0,20,2026-07-30,0
CA-SC-10-B-47-WR-1TO,"Mercedes-Benz CLS-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",32,0,20,2026-09-12,0
CA-SC-10-B-48-BK-1TO,"GMC Acadia Seat Covers - Custom-Fit, Comfort Leather, Easy Install",63,0,15,2026-07-30,0
CA-SC-10-B-53-BE-1TO,"Mercedes-Benz GLE-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",3,0,55,2026-08-16,0
CA-SC-10-B-53-BK-1TO,"Mercedes-Benz GLE-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",159,0,0,,0
CA-SC-10-B-53-DG-1TO,"Mercedes-Benz GLE-Class Seat Covers - Custom-Fit, Comfort Leather, Easy Install",43,0,10,2026-09-16,0
CA-SC-10-B-56-BE-1TO,"Volvo EX90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,1,50,2026-07-30,0
CA-SC-10-B-56-BK-1TO,"Volvo EX90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",14,0,105,2026-07-30,0
CA-SC-10-B-67-BK-1TO,"Jeep Gladiator Seat Covers - Custom-Fit, Comfort Leather, Easy Install",2,0,0,,0
CA-SC-10-B-68-BK-1TO,"Dodge Durango Seat Covers - Custom-Fit, Comfort Leather, Easy Install",11,0,40,2026-08-12,0
CA-SC-10-B-71-BK-1TO,"Land Rover Defender 130 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",39,0,30,2026-09-12,0
CA-SC-10-B-76-BK-1TO,"Dodge Ram Seat Covers - Custom-Fit, Comfort Leather, Easy Install",81,1,0,,0
CA-SC-10-B-76-DG-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",66,3,0,,0
CA-SC-10-B-NEW-BK-1TO,"Ford F-250 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,1,0,,0
CA-SC-10-F-10-BE-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",230,5,1040,2026-07-30,0
CA-SC-10-F-10-BK-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",723,3,2050,2026-07-30,0
CA-SC-10-F-10-BKRD-STI,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",63,0,205,2026-07-30,0
CA-SC-10-F-10-BKWH-STI,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",118,0,185,2026-08-09,0
CA-SC-10-F-10-BR-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",70,2,185,2026-08-12,0
CA-SC-10-F-10-DB-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",125,1,290,2026-09-12,0
CA-SC-10-F-10-DG-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",30,22,1200,2026-08-09,0
CA-SC-10-F-10-GR-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",215,7,505,2026-08-09,0
CA-SC-10-F-10-OR-1TO,"Lincoln Aviator Seat Covers - Custom-Fit, Comfort Leather, Easy Install",92,0,0,,0
CA-SC-10-F-10-WR-1TO,"Mazda CX-90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",90,0,295,2026-09-02,0
CA-SC-10-F-102-BE-1TO,"GMC Acadia Seat Covers - Custom-Fit, Comfort Leather, Easy Install",2,0,60,2026-08-09,0
CA-SC-10-F-102-BK-1TO,"GMC Acadia Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,3,55,2026-08-12,0
CA-SC-10-F-103-BE-1TO,"Ford F-350 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,5,80,2026-08-16,0
CA-SC-10-F-104-BE-1TO,"Ford F-350 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",18,0,70,2026-08-12,0
CA-SC-10-F-104-BK-1TO,"Ford F-350 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",1,0,60,2026-08-12,0
CA-SC-10-F-104-DG-1TO,"Ford F-350 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",23,0,45,2026-08-16,0
CA-SC-10-F-106-BE-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",14,0,160,2026-07-30,0
CA-SC-10-F-106-BK-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",66,0,90,2026-08-16,0
CA-SC-10-F-106-DG-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,3,235,2026-07-30,0
CA-SC-10-F-106-GR-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",35,0,70,2026-08-12,0
CA-SC-10-F-107-BK-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",27,0,25,2026-09-12,0
CA-SC-10-F-107-DG-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",36,0,50,2026-08-12,0
CA-SC-10-F-11-BE-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",33,0,35,2026-08-16,0
CA-SC-10-F-11-BK-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",168,7,470,2026-08-09,0
CA-SC-10-F-11-BR-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",7,1,40,2026-08-16,0
CA-SC-10-F-11-DB-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",4,9,120,2026-07-30,0
CA-SC-10-F-11-DG-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",13,7,325,2026-07-30,0
CA-SC-10-F-11-GR-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",9,3,210,2026-08-12,0
CA-SC-10-F-11-WR-1TO,"Volvo XC90 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",12,1,50,2026-07-30,0
CA-SC-10-F-110-BK-1TO,"GMC Envoy XL 1998-2008 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,0,25,2026-08-12,0
CA-SC-10-F-115-BK-1TO,"Ford F-150 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",2,0,45,2026-08-16,0
CA-SC-10-F-116-BE-1TO,"Ford F-150 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",45,0,20,2026-09-12,0
CA-SC-10-F-116-BK-1TO,"Ford F-150 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",43,0,40,2026-08-31,0
CA-SC-10-F-12-BE-1TO,"Hummer H3 2005-2009 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",7,1,40,2026-08-12,0
CA-SC-10-F-12-BK-1TO,"Hummer H3 2005-2009 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",144,1,20,2026-08-16,0
CA-SC-10-F-12-DG-1TO,"Hummer H3 2005-2009 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",36,0,185,2026-07-30,0
CA-SC-10-F-12-GR-1TO,"Hummer H3 2005-2009 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",34,2,0,,0
CA-SC-10-F-122-BK-1TO,"Mazda Miata MX-5 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",33,0,10,2026-07-30,0
CA-SC-10-F-124-BK-1TO,"BMW Z3 1996-2002 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",2,0,55,2026-07-30,0
CA-SC-10-F-13-BE-1TO,"Hyundai Santa Fe Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,38,190,2026-07-30,0
CA-SC-10-F-13-BK-1TO,"Hyundai Santa Fe Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,18,400,2026-08-09,0
CA-SC-10-F-13-DG-1TO,"Hyundai Santa Fe Seat Covers - Custom-Fit, Comfort Leather, Easy Install",36,5,130,2026-09-16,0
CA-SC-10-F-13-GR-1TO,"Hyundai Santa Fe Seat Covers - Custom-Fit, Comfort Leather, Easy Install",11,1,130,2026-08-09,0
CA-SC-10-F-13-WR-1TO,"Hyundai Santa Fe Seat Covers - Custom-Fit, Comfort Leather, Easy Install",4,0,80,2026-09-02,0
CA-SC-10-F-135-BK-1TO,"Ford Mustang Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,4,25,2026-08-12,0
CA-SC-10-F-14-BE-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",135,0,105,2026-09-12,0
CA-SC-10-F-14-BK-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",89,0,145,2026-09-12,0
CA-SC-10-F-14-BR-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",13,0,35,2026-07-30,0
CA-SC-10-F-14-DG-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",32,0,20,2026-07-30,0
CA-SC-10-F-14-GR-1TO,"Mitsubishi Outlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",8,0,145,2026-08-12,0
CA-SC-10-F-148-BK-1TO,"Toyota Grand Highlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,36,125,2026-07-30,0
CA-SC-10-F-148-DG-1TO,"Toyota Grand Highlander Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,5,65,2026-08-12,0
CA-SC-10-F-16-BE-1TO,"Mercedes-Benz GLA-Class 2015-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",56,0,10,2026-07-30,0
CA-SC-10-F-16-BK-1TO,"Mercedes-Benz GLA-Class 2015-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",67,0,10,2026-07-30,0
CA-SC-10-F-169-BK-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",192,9,185,2026-08-31,0
CA-SC-10-F-169-BR-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",14,0,65,2026-08-31,0
CA-SC-10-F-169-DB-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",21,9,85,2026-08-12,0
CA-SC-10-F-169-DG-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",11,3,135,2026-07-30,0
CA-SC-10-F-169-GR-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",8,0,50,2026-08-31,0
CA-SC-10-F-17-BK-1TO,"Ford Bronco Sport 2021-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,0,25,2026-08-16,0
CA-SC-10-F-17-DG-1TO,"Ford Bronco Sport 2021-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,12,75,2026-08-16,0
CA-SC-10-F-171-BK-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,265,1300,2026-07-30,0
CA-SC-10-F-171-BR-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,12,55,2026-07-30,0
CA-SC-10-F-171-DB-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,63,170,2026-07-30,0
CA-SC-10-F-171-DG-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,99,310,2026-07-30,0
CA-SC-10-F-171-GR-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,25,45,2026-07-30,0
CA-SC-10-F-171-WR-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,2,65,2026-07-30,0
CA-SC-10-F-172-BK-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,27,75,2026-08-16,0
CA-SC-10-F-173-BK-1TO,,201,16,115,2026-07-30,0
CA-SC-10-F-173-DB-1TO,,27,0,25,2026-09-12,0
CA-SC-10-F-173-DG-1TO,,49,1,85,2026-07-30,0
CA-SC-10-F-174-BK-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",17,6,10,2026-08-16,0
CA-SC-10-F-176-BK-1TO,,82,3,45,2026-09-16,0
CA-SC-10-F-177-BK-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,10,25,2026-07-30,0
CA-SC-10-F-177-DG-1TO,"RAM 1500 Classic Seat Covers - Custom-Fit, Comfort Leather, Easy Install",5,2,65,2026-07-30,0
CA-SC-10-F-179-BK-1TO,"RAM 1500 Classic Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,33,115,2026-08-12,0
